CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0022000004433403RW1P;16/05/2021;7;0,097;R
ES0022000004433403RW1P;16/05/2021;8;0,106;R
ES0022000004433403RW1P;16/05/2021;9;0,121;R
ES0022000004433403RW1P;16/05/2021;10;0,268;R
ES0022000004433403RW1P;16/05/2021;11;0,331;R
ES0022000004433403RW1P;16/05/2021;12;0,627;R
ES0022000004433403RW1P;16/05/2021;13;0,569;R
ES0022000004433403RW1P;16/05/2021;14;0,685;R
ES0022000004433403RW1P;16/05/2021;15;1,090;R
ES0022000004433403RW1P;16/05/2021;16;0,401;R
ES0022000004433403RW1P;16/05/2021;17;0,912;R
ES0022000004433403RW1P;16/05/2021;18;1,218;R
ES0022000004433403RW1P;16/05/2021;19;0,449;R
ES0022000004433403RW1P;16/05/2021;20;0,279;R
ES0022000004433403RW1P;16/05/2021;21;0,702;R
ES0022000004433403RW1P;16/05/2021;22;1,426;R
ES0022000004433403RW1P;16/05/2021;23;1,532;R
ES0022000004433403RW1P;16/05/2021;24;0,420;R
ES0022000004433403RW1P;17/05/2021;1;0,144;R
ES0022000004433403RW1P;17/05/2021;2;0,199;R
ES0022000004433403RW1P;17/05/2021;3;0,367;R
ES0022000004433403RW1P;17/05/2021;4;0,306;R
ES0022000004433403RW1P;17/05/2021;5;0,128;R
ES0022000004433403RW1P;17/05/2021;6;0,103;R
ES0022000004433403RW1P;17/05/2021;7;0,099;R
ES0022000004433403RW1P;17/05/2021;8;0,126;R
ES0022000004433403RW1P;17/05/2021;9;0,113;R
ES0022000004433403RW1P;17/05/2021;10;0,101;R
ES0022000004433403RW1P;17/05/2021;11;0,178;R
ES0022000004433403RW1P;17/05/2021;12;0,351;R
ES0022000004433403RW1P;17/05/2021;13;0,470;R
ES0022000004433403RW1P;17/05/2021;14;2,039;R
ES0022000004433403RW1P;17/05/2021;15;0,929;R
ES0022000004433403RW1P;17/05/2021;16;0,305;R
ES0022000004433403RW1P;17/05/2021;17;0,965;R
ES0022000004433403RW1P;17/05/2021;18;1,200;R
ES0022000004433403RW1P;17/05/2021;19;0,890;R
ES0022000004433403RW1P;17/05/2021;20;0,301;R
ES0022000004433403RW1P;17/05/2021;21;0,419;R
ES0022000004433403RW1P;17/05/2021;22;1,206;R
ES0022000004433403RW1P;17/05/2021;23;0,380;R
ES0022000004433403RW1P;17/05/2021;24;0,315;R
ES0022000004433403RW1P;18/05/2021;1;0,129;R
ES0022000004433403RW1P;18/05/2021;2;0,116;R
ES0022000004433403RW1P;18/05/2021;3;0,138;R
ES0022000004433403RW1P;18/05/2021;4;0,110;R
ES0022000004433403RW1P;18/05/2021;5;0,112;R
ES0022000004433403RW1P;18/05/2021;6;0,140;R
ES0022000004433403RW1P;18/05/2021;7;0,256;R
ES0022000004433403RW1P;18/05/2021;8;0,223;R
ES0022000004433403RW1P;18/05/2021;9;0,366;R
ES0022000004433403RW1P;18/05/2021;10;0,286;R
ES0022000004433403RW1P;18/05/2021;11;0,423;R
ES0022000004433403RW1P;18/05/2021;12;0,397;R
ES0022000004433403RW1P;18/05/2021;13;0,401;R
ES0022000004433403RW1P;18/05/2021;14;0,324;R
ES0022000004433403RW1P;18/05/2021;15;0,868;R
ES0022000004433403RW1P;18/05/2021;16;0,783;R
ES0022000004433403RW1P;18/05/2021;17;0,472;R
ES0022000004433403RW1P;18/05/2021;18;0,321;R
ES0022000004433403RW1P;18/05/2021;19;0,294;R
ES0022000004433403RW1P;18/05/2021;20;0,966;R
ES0022000004433403RW1P;18/05/2021;21;1,538;R
